ts_name,buy_time,buy_week,buy_point,sell_time,sell_week,sell_point,return,cycle,cycle_per,bull_bear
鹏都农牧,2022-08-04,星期四,3.2,2022-12-22,星期四,5.45,70.0,140.0,0.5,bull
交通银行,2022-08-02,星期二,4.55,2023-04-12,星期三,5.5,21.0,253.0,0.08,bull
中国银行,2022-08-03,星期三,3.01,2023-07-11,星期二,3.39,13.0,342.0,0.04,bull
新钢股份,2023-07-24,星期一,1.68,2022-09-09,星期五,7.68,357.0,16.0,22.31,bear
中国长城,2023-04-26,星期三,0.64,2022-08-08,星期一,10.54,1547.0,73.0,21.19,bear
三友化工,2023-04-26,星期三,0.79,2022-09-09,星期五,10.9,1280.0,105.0,12.19,bear
养元饮品,2023-07-31,星期一,12.55,2022-09-13,星期二,27.76,121.0,13.0,9.31,bear
云铝股份,2023-04-26,星期三,5.98,2022-09-15,星期四,19.97,234.0,111.0,2.11,bear
洛阳钼业,2023-04-26,星期三,2.91,2022-09-12,星期一,6.98,140.0,108.0,1.3,bear
山东钢铁,2023-04-26,星期三,1.15,2022-09-08,星期四,2.26,97.0,104.0,0.93,bear
永泰能源,2023-04-26,星期三,1.45,2022-09-09,星期五,2.32,60.0,105.0,0.57,bear
雅化集团,2023-01-27,星期五,20.71,2022-09-13,星期二,41.46,100.0,198.0,0.51,bear
五粮液,2023-03-28,星期二,102.25,2022-12-12,星期一,203.19,99.0,228.0,0.43,bear
农业银行,2023-07-14,星期五,2.68,2023-04-05,星期三,3.05,14.0,234.0,0.06,bear
农业银行,2023-07-17,星期一,2.68,2023-04-06,星期四,3.05,14.0,232.0,0.06,bear
新钢股份,2023-07-25,星期二,1.68,,,,,,,
交通银行,2022-08-03,星期三,4.55,,,,,,,
交通银行,2022-08-04,星期四,4.55,,,,,,,
中国银行,2022-08-04,星期四,3.01,,,,,,,
山东钢铁,,,,2022-09-15,星期四,2.26,,,,
鹏都农牧,2023-04-26,星期三,3.2,,,,,,,
